DatGeracaoConjuntoDados,DscConjuntoUnidadeConsumidora,DscAlimentadorSubestacao,DscSubestacaoDistribuicao,NumOrdemInterrupcao,DscTipoInterrupcao,IdeMotivoInterrupcao,DataInicioInterrupcao,HoraIcicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumNivelTensao,NumUnidadeConsumidora,NumConsumidorConjunto,NumAno,NomAgenteRegulado,SigAgente,NumCPFCNPJ,VlrIndiceEnviado
26/05/2023,TIMBAUBA,TBB-01C1,TIMBAUBA,15328552_14086670,N弛 Programada,0,30/11/2017,17:31:00,01/12/2017 07:09,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,13800,5,31402,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,SAO BENEDITO,SBT-01S5,SAO BENEDITO,15328563_14089024,N弛 Programada,0,30/11/2017,17:39:00,03/12/2017 13:01,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,62126,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",3121
26/05/2023,SERRA TALHADA,SRT-01M1,SERRA TALHADA,15328576_14086810,N弛 Programada,0,30/11/2017,17:48:00,01/12/2017 10:07,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,52321,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,TRINDADE,TDD-01C4,TRINDADE,15328579_14086766,N弛 Programada,0,30/11/2017,17:49:00,01/12/2017 09:50,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - VENTO,13800,93,36413,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",458
26/05/2023,CAMOCIM DE SAO FELIX,CSF-01X1,CAMOCIM DE SAO FELIX,15328583_14086674,N弛 Programada,0,30/11/2017,17:51:00,01/12/2017 07:15,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - CORROSAO,13800,18,23346,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",1018
26/05/2023,BEZERROS,BZR-01Y4,BEZERROS,15328586_14087172,N弛 Programada,0,30/11/2017,17:54:00,01/12/2017 14:26,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,24577,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",74
26/05/2023,IBIMIRIM,IBM-01V3,IBIMIRIM,15328588_14087026,N弛 Programada,0,30/11/2017,17:56:00,01/12/2017 16:15,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - VENTO,13800,333,10318,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",3190
26/05/2023,INAJA,IBM-01V3,IBIMIRIM,15328588_14087026,N弛 Programada,0,30/11/2017,17:56:00,01/12/2017 16:15,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - VENTO,13800,4,17430,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,PALMARES,PMR-01C2,PALMARES,15328590_14086732,N弛 Programada,1,30/11/2017,17:58:00,01/12/2017 08:50,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,380,1,41359,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,BUIQUE,VTA-01M3,VENTUROSA,15328605_14086823,N弛 Programada,0,30/11/2017,18:02:00,01/12/2017 10:36,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,13800,2,27686,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",2461
